prn_1.IQI.bin S3FIFO-0.7000-0.9000 cache size    65207, 11233411 req, miss ratio 0.6297, byte miss ratio 0.6297
prn_1.IQI.bin S3FIFO-0.7000-0.9000 cache size   217357, 11233411 req, miss ratio 0.4240, byte miss ratio 0.4240
prn_1.IQI.bin S3FIFO-0.7000-0.9000 cache size   434715, 11233411 req, miss ratio 0.3250, byte miss ratio 0.3250
prn_1.IQI.bin S3FIFO-0.7000-0.9000 cache size   869430, 11233411 req, miss ratio 0.2355, byte miss ratio 0.2355
prn_1.IQI.bin S3FIFO-0.7000-0.9000 cache size  1738860, 11233411 req, miss ratio 0.2023, byte miss ratio 0.2023
prn_1.IQI.bin S3FIFO-0.5000-1.9000 cache size     2173, 11233411 req, miss ratio 0.7909, byte miss ratio 0.7909
prn_1.IQI.bin S3FIFO-0.5000-1.9000 cache size     6520, 11233411 req, miss ratio 0.7477, byte miss ratio 0.7477
prn_1.IQI.bin S3FIFO-0.5000-1.9000 cache size    21735, 11233411 req, miss ratio 0.6979, byte miss ratio 0.6979
prn_1.IQI.bin S3FIFO-0.5000-1.9000 cache size    65207, 11233411 req, miss ratio 0.6154, byte miss ratio 0.6154
prn_1.IQI.bin S3FIFO-0.5000-1.9000 cache size   217357, 11233411 req, miss ratio 0.4147, byte miss ratio 0.4147
prn_1.IQI.bin S3FIFO-0.5000-1.9000 cache size   434715, 11233411 req, miss ratio 0.2989, byte miss ratio 0.2989
prn_1.IQI.bin S3FIFO-0.5000-1.9000 cache size   869430, 11233411 req, miss ratio 0.2160, byte miss ratio 0.2160
prn_1.IQI.bin S3FIFO-0.5000-1.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.5500-1.9000 cache size     2173, 11233411 req, miss ratio 0.7897, byte miss ratio 0.7897
prn_1.IQI.bin S3FIFO-0.5500-1.9000 cache size     6520, 11233411 req, miss ratio 0.7484, byte miss ratio 0.7484
prn_1.IQI.bin S3FIFO-0.5500-1.9000 cache size    21735, 11233411 req, miss ratio 0.6995, byte miss ratio 0.6995
prn_1.IQI.bin S3FIFO-0.5500-1.9000 cache size    65207, 11233411 req, miss ratio 0.6184, byte miss ratio 0.6184
prn_1.IQI.bin S3FIFO-0.5500-1.9000 cache size   217357, 11233411 req, miss ratio 0.4172, byte miss ratio 0.4172
prn_1.IQI.bin S3FIFO-0.5500-1.9000 cache size   434715, 11233411 req, miss ratio 0.3076, byte miss ratio 0.3076
prn_1.IQI.bin S3FIFO-0.5500-1.9000 cache size   869430, 11233411 req, miss ratio 0.2230, byte miss ratio 0.2230
prn_1.IQI.bin S3FIFO-0.5500-1.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.0100-1.9000 cache size     2173, 11233411 req, miss ratio 0.8358, byte miss ratio 0.8358
prn_1.IQI.bin S3FIFO-0.0100-1.9000 cache size     6520, 11233411 req, miss ratio 0.7956, byte miss ratio 0.7956
prn_1.IQI.bin S3FIFO-0.0100-1.9000 cache size    21735, 11233411 req, miss ratio 0.7284, byte miss ratio 0.7284
