tencentBlock.ns9296 S3FIFO-0.2000-1.9000 cache size   539677, 4957575 req, miss ratio 0.1365, byte miss ratio 0.1365
tencentBlock.ns9296 S3FIFO-0.0250-1.9000 cache size      674, 4957575 req, miss ratio 0.5022, byte miss ratio 0.5022
tencentBlock.ns9296 S3FIFO-0.0250-1.9000 cache size     2023, 4957575 req, miss ratio 0.3533, byte miss ratio 0.3533
tencentBlock.ns9296 S3FIFO-0.0250-1.9000 cache size     6745, 4957575 req, miss ratio 0.3289, byte miss ratio 0.3289
tencentBlock.ns9296 S3FIFO-0.0250-1.9000 cache size    20237, 4957575 req, miss ratio 0.2886, byte miss ratio 0.2886
tencentBlock.ns9296 S3FIFO-0.0250-1.9000 cache size    67459, 4957575 req, miss ratio 0.2444, byte miss ratio 0.2444
tencentBlock.ns9296 S3FIFO-0.0250-1.9000 cache size   134919, 4957575 req, miss ratio 0.1948, byte miss ratio 0.1948
tencentBlock.ns9296 S3FIFO-0.0250-1.9000 cache size   269838, 4957575 req, miss ratio 0.1577, byte miss ratio 0.1577
tencentBlock.ns9296 S3FIFO-0.0250-1.9000 cache size   539677, 4957575 req, miss ratio 0.1365, byte miss ratio 0.1365
tencentBlock.ns9296 S3FIFO-0.3000-1.9000 cache size      674, 4957575 req, miss ratio 0.4912, byte miss ratio 0.4912
tencentBlock.ns9296 S3FIFO-0.3000-1.9000 cache size     2023, 4957575 req, miss ratio 0.3540, byte miss ratio 0.3540
tencentBlock.ns9296 S3FIFO-0.3000-1.9000 cache size     6745, 4957575 req, miss ratio 0.3280, byte miss ratio 0.3280
tencentBlock.ns9296 S3FIFO-0.3000-1.9000 cache size    20237, 4957575 req, miss ratio 0.2894, byte miss ratio 0.2894
tencentBlock.ns9296 S3FIFO-0.3000-1.9000 cache size    67459, 4957575 req, miss ratio 0.2373, byte miss ratio 0.2373
tencentBlock.ns9296 S3FIFO-0.3000-1.9000 cache size   134919, 4957575 req, miss ratio 0.1884, byte miss ratio 0.1884
tencentBlock.ns9296 S3FIFO-0.3000-1.9000 cache size   269838, 4957575 req, miss ratio 0.1510, byte miss ratio 0.1510
tencentBlock.ns9296 S3FIFO-0.3000-1.9000 cache size   539677, 4957575 req, miss ratio 0.1365, byte miss ratio 0.1365
tencentBlock.ns9296 S3FIFO-0.0010-0.9000 cache size      674, 4957575 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns9296 S3FIFO-0.0010-0.9000 cache size     2023, 4957575 req, miss ratio 0.3896, byte miss ratio 0.3896
tencentBlock.ns9296 S3FIFO-0.0010-0.9000 cache size     6745, 4957575 req, miss ratio 0.3638, byte miss ratio 0.3638
tencentBlock.ns9296 S3FIFO-0.0010-0.9000 cache size    20237, 4957575 req, miss ratio 0.3059, byte miss ratio 0.3059
tencentBlock.ns9296 S3FIFO-0.0010-0.9000 cache size    67459, 4957575 req, miss ratio 0.2508, byte miss ratio 0.2508
tencentBlock.ns9296 S3FIFO-0.0010-0.9000 cache size   134919, 4957575 req, miss ratio 0.2001, byte miss ratio 0.2001
tencentBlock.ns9296 S3FIFO-0.0010-0.9000 cache size   269838, 4957575 req, miss ratio 0.1617, byte miss ratio 0.1617
tencentBlock.ns9296 S3FIFO-0.0010-0.9000 cache size   539677, 4957575 req, miss ratio 0.1365, byte miss ratio 0.1365
tencentBlock.ns9296 S3FIFO-0.7000-1.9000 cache size      674, 4957575 req, miss ratio 0.5149, byte miss ratio 0.5149
tencentBlock.ns9296 S3FIFO-0.7000-1.9000 cache size     2023, 4957575 req, miss ratio 0.4147, byte miss ratio 0.4147
tencentBlock.ns9296 S3FIFO-0.7000-1.9000 cache size     6745, 4957575 req, miss ratio 0.3326, byte miss ratio 0.3326
tencentBlock.ns9296 S3FIFO-0.7000-1.9000 cache size    20237, 4957575 req, miss ratio 0.3002, byte miss ratio 0.3002
tencentBlock.ns9296 S3FIFO-0.7000-1.9000 cache size    67459, 4957575 req, miss ratio 0.2373, byte miss ratio 0.2373
tencentBlock.ns9296 S3FIFO-0.7000-1.9000 cache size   134919, 4957575 req, miss ratio 0.1930, byte miss ratio 0.1930
tencentBlock.ns9296 S3FIFO-0.7000-1.9000 cache size   269838, 4957575 req, miss ratio 0.1548, byte miss ratio 0.1548
tencentBlock.ns9296 S3FIFO-0.7000-1.9000 cache size   539677, 4957575 req, miss ratio 0.1377, byte miss ratio 0.1377
tencentBlock.ns9296 S3FIFO-0.2000-0.9000 cache size      674, 4957575 req, miss ratio 0.4885, byte miss ratio 0.4885
