cdn1_allcolo.ns2378 S3FIFO-0.1000-0.9000 cache size   117751, 4253977 req, miss ratio 0.2970, byte miss ratio 0.2970
cdn1_allcolo.ns2378 S3FIFO-0.1000-0.9000 cache size   235503, 4253977 req, miss ratio 0.2875, byte miss ratio 0.2875
cdn1_allcolo.ns2378 S3FIFO-0.1000-0.9000 cache size   471007, 4253977 req, miss ratio 0.2804, byte miss ratio 0.2804
cdn1_allcolo.ns2378 S3FIFO-0.1000-0.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.0010-0.9000 cache size     1177, 4253977 req, miss ratio 0.4355, byte miss ratio 0.4355
cdn1_allcolo.ns2378 S3FIFO-0.0010-0.9000 cache size     3532, 4253977 req, miss ratio 0.4044, byte miss ratio 0.4044
cdn1_allcolo.ns2378 S3FIFO-0.0010-0.9000 cache size    11775, 4253977 req, miss ratio 0.3698, byte miss ratio 0.3698
cdn1_allcolo.ns2378 S3FIFO-0.0010-0.9000 cache size    35325, 4253977 req, miss ratio 0.3367, byte miss ratio 0.3367
cdn1_allcolo.ns2378 S3FIFO-0.0010-0.9000 cache size   117751, 4253977 req, miss ratio 0.3046, byte miss ratio 0.3046
cdn1_allcolo.ns2378 S3FIFO-0.0010-0.9000 cache size   235503, 4253977 req, miss ratio 0.2899, byte miss ratio 0.2899
cdn1_allcolo.ns2378 S3FIFO-0.0010-0.9000 cache size   471007, 4253977 req, miss ratio 0.2804, byte miss ratio 0.2804
cdn1_allcolo.ns2378 S3FIFO-0.0010-0.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.7000-1.9000 cache size     1177, 4253977 req, miss ratio 0.4190, byte miss ratio 0.4190
cdn1_allcolo.ns2378 S3FIFO-0.7000-1.9000 cache size     3532, 4253977 req, miss ratio 0.3855, byte miss ratio 0.3855
cdn1_allcolo.ns2378 S3FIFO-0.7000-1.9000 cache size    11775, 4253977 req, miss ratio 0.3550, byte miss ratio 0.3550
cdn1_allcolo.ns2378 S3FIFO-0.7000-1.9000 cache size    35325, 4253977 req, miss ratio 0.3302, byte miss ratio 0.3302
cdn1_allcolo.ns2378 S3FIFO-0.7000-1.9000 cache size   117751, 4253977 req, miss ratio 0.3034, byte miss ratio 0.3034
cdn1_allcolo.ns2378 S3FIFO-0.7000-1.9000 cache size   235503, 4253977 req, miss ratio 0.2898, byte miss ratio 0.2898
cdn1_allcolo.ns2378 S3FIFO-0.7000-1.9000 cache size   471007, 4253977 req, miss ratio 0.2811, byte miss ratio 0.2811
cdn1_allcolo.ns2378 S3FIFO-0.7000-1.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.6000-1.9000 cache size     1177, 4253977 req, miss ratio 0.4145, byte miss ratio 0.4145
cdn1_allcolo.ns2378 S3FIFO-0.6000-1.9000 cache size     3532, 4253977 req, miss ratio 0.3818, byte miss ratio 0.3818
cdn1_allcolo.ns2378 S3FIFO-0.6000-1.9000 cache size    11775, 4253977 req, miss ratio 0.3520, byte miss ratio 0.3520
cdn1_allcolo.ns2378 S3FIFO-0.6000-1.9000 cache size    35325, 4253977 req, miss ratio 0.3270, byte miss ratio 0.3270
cdn1_allcolo.ns2378 S3FIFO-0.6000-1.9000 cache size   117751, 4253977 req, miss ratio 0.3004, byte miss ratio 0.3004
cdn1_allcolo.ns2378 S3FIFO-0.6000-1.9000 cache size   235503, 4253977 req, miss ratio 0.2883, byte miss ratio 0.2883
cdn1_allcolo.ns2378 S3FIFO-0.6000-1.9000 cache size   471007, 4253977 req, miss ratio 0.2807, byte miss ratio 0.2807
