result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-d cache size   140894, 2066009 req, miss ratio 0.0890, byte miss ratio 0.0890
result/cdn1_nyc.ns113.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      176, 2066009 req, miss ratio 0.5145, byte miss ratio 0.5145
result/cdn1_nyc.ns113.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      528, 2066009 req, miss ratio 0.4074, byte miss ratio 0.4074
result/cdn1_nyc.ns113.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1761, 2066009 req, miss ratio 0.3091, byte miss ratio 0.3091
result/cdn1_nyc.ns113.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     5283, 2066009 req, miss ratio 0.2484, byte miss ratio 0.2484
result/cdn1_nyc.ns113.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    17611, 2066009 req, miss ratio 0.2064, byte miss ratio 0.2064
result/cdn1_nyc.ns113.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    35223, 2066009 req, miss ratio 0.1681, byte miss ratio 0.1681
result/cdn1_nyc.ns113.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    70447, 2066009 req, miss ratio 0.1266, byte miss ratio 0.1266
result/cdn1_nyc.ns113.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   140894, 2066009 req, miss ratio 0.0902, byte miss ratio 0.0902
result/cdn1_nyc.ns113.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      176, 2066009 req, miss ratio 0.5185, byte miss ratio 0.5185
result/cdn1_nyc.ns113.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      528, 2066009 req, miss ratio 0.4136, byte miss ratio 0.4136
result/cdn1_nyc.ns113.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1761, 2066009 req, miss ratio 0.3138, byte miss ratio 0.3138
result/cdn1_nyc.ns113.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     5283, 2066009 req, miss ratio 0.2556, byte miss ratio 0.2556
result/cdn1_nyc.ns113.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    17611, 2066009 req, miss ratio 0.2060, byte miss ratio 0.2060
result/cdn1_nyc.ns113.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    35223, 2066009 req, miss ratio 0.1680, byte miss ratio 0.1680
result/cdn1_nyc.ns113.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    70447, 2066009 req, miss ratio 0.1274, byte miss ratio 0.1274
result/cdn1_nyc.ns113.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   140894, 2066009 req, miss ratio 0.0928, byte miss ratio 0.0928
